year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2024,"Bailey, Patrick",672275,137,25,84.6,0.6,58,1.85,1.83,1.86,2,1.4,1.42,1.37
2024,"Haase, Eric",606992,158,31,82.9,0.65,12,1.94,1.84,1.95,0,,,
2024,"Realmuto, J.T.",592663,143,33,85.1,0.65,39,1.85,1.85,1.84,4,1.42,1.41,1.45
2024,"Fermin, Freddy",666023,118,29,84.3,0.64,23,1.88,1.85,1.92,2,1.54,,1.54
2024,"Lee, Korey",686676,145,25,88.3,0.64,46,1.85,1.85,1.85,2,1.49,1.56,1.42
2024,"Jackson, Alex",656577,139,28,85.0,0.66,26,1.96,1.86,1.99,2,1.39,,1.39
2024,"Davis, Henry",680779,134,24,86.7,0.65,10,1.87,1.87,1.87,2,1.44,,1.44
2024,"Rortvedt, Ben",666163,139,26,86.4,0.69,47,1.92,1.87,1.93,2,1.57,,1.57
2024,"Driscoll, Logan",686482,139,26,85.3,0.65,6,1.87,1.87,1.87,2,1.5,,1.5
2024,"Jeffers, Ryan",680777,142,27,84.2,0.65,40,1.93,1.88,1.95,2,1.48,,1.48
2024,"Alvarez, Francisco",682626,121,22,84.2,0.63,37,1.92,1.88,1.93,2,1.51,1.47,1.54
2024,"Stubbs, Garrett",596117,143,31,85.4,0.64,22,1.88,1.88,1.88,5,1.52,,1.52
2024,"Torrens, Luis",620443,121,28,85.2,0.61,19,1.87,1.88,1.87,1,1.37,,1.37
2024,"Adams, Riley",656180,120,28,85.6,0.68,17,1.97,1.89,1.98,0,,,
2024,"Díaz, Elias",553869,135,33,84.1,0.65,33,1.9,1.89,1.9,4,1.52,1.4,1.63
2024,"Tromp, Chadwick",644433,144,29,80.7,0.59,9,1.92,1.89,1.94,1,1.51,1.51,
2024,"Fortes, Nick",663743,146,27,82.3,0.62,60,1.93,1.89,1.95,1,1.51,,1.51
2024,"Moreno, Gabriel",672515,109,24,83.5,0.62,26,1.89,1.9,1.88,7,1.48,1.47,1.49
2024,"Marchán, Rafael",665561,143,25,85.9,0.65,6,1.87,1.9,1.84,2,1.51,,1.51
